case_id,lang,topic,case_text,resolution,status,closed_at,synthetic
CASE-016603,ar,waste,نحتاج حاوية إضافية في جدة,تم تفريغ الحاوية وتعديل جدول الجمع,resolved,2026-12-24T18:00,True
CASE-016604,en,water,Water pressure is very low in Tahlia Street,The leak was repaired and network pressure was restored,resolved,2026-12-24T19:00,True
CASE-016605,en,billing,Incorrect fees were charged on invoice BYN-2025-066604,The payment was matched and the account status was updated,resolved,2026-12-24T20:00,True
CASE-016606,ar,digital_services,ظهرت رسالة خطأ عند رفع المستند في بوابة المرافق,تم تحديث الحساب وإعادة تفعيل الدخول,resolved,2026-12-24T21:00,True
CASE-016607,ar,licensing,لم تتغير حالة الطلب رقم BYN-2025-066606,تمت مراجعة المستندات وتحديث حالة الطلب,resolved,2026-12-24T22:00,True
CASE-016608,ar,parks,ألعاب الأطفال في حديقة حي النرجس تحتاج صيانة,تمت صيانة الموقع وإعادة فتح الجزء المتضرر,resolved,2026-12-24T23:00,True
CASE-016609,en,roads,There is a pothole near Al Yasmin for 18 days,The site was inspected and road maintenance was scheduled,resolved,2026-12-25T00:00,True
CASE-016610,en,lighting,The walkway lights are not working at Al Olaya,The maintenance team repaired the wiring and restored service,resolved,2026-12-25T01:00,True
CASE-016611,ar,waste,نحتاج حاوية إضافية في الدمام,تم تفريغ الحاوية وتعديل جدول الجمع,resolved,2026-12-25T02:00,True
CASE-016612,ar,water,انقطاع المياه مستمر في جدة منذ الصباح,عولج العطل وأعيدت المياه تدريجياً,resolved,2026-12-25T03:00,True
CASE-016613,ar,billing,دفعت الفاتورة لكن الحالة ما زالت غير مسددة 😡,تمت مراجعة الفاتورة وتصحيح الرسوم,resolved,2026-12-25T04:00,True
CASE-016614,en,digital_services,The verification code for Water Services never reaches my phone,The technical issue was fixed and the verification code was resent,resolved,2026-12-25T05:00,True
CASE-016615,en,licensing,I NEED CLARIFICATION ON THE DOCUMENTS REQUIRED FOR MY LICENCE,The documents were reviewed and the request status was updated,resolved,2026-12-25T06:00,True
CASE-016616,ar,parks,الري متوقف في حديقة حي النرجس,تمت صيانة الموقع وإعادة فتح الجزء المتضرر,resolved,2026-12-25T07:00,True
CASE-016617,ar,roads,الأسفلت متضرر قرب الدمام والقيادة أصبحت خطرة,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2026-12-25T08:00,True
CASE-016618,ar,lighting,عمود الإنارة معطل في حي النرجس منذ أسبوعين,تم استبدال وحدة الإنارة واختبارها,resolved,2026-12-25T09:00,True
CASE-016619,en,waste,Waste is piling up near Dammam and causing a strong smell,The container was emptied and the collection schedule was updated,resolved,2026-12-25T10:00,True
CASE-016620,en,water,Water has been unavailable in Riyadh since this morning <br>,The leak was repaired and network pressure was restored,resolved,2026-12-25T11:00,True
CASE-016621,ar,billing,دفعت الفاتورة لكن الحالة ما زالت غير مسددة,تمت مطابقة الدفعة وتحديث حالة الحساب,resolved,2026-12-25T12:00,True
CASE-016622,ar,digital_services,ظهرت رسالة خطأ عند رفع المستند في خدمات المياه,تم تحديث الحساب وإعادة تفعيل الدخول,resolved,2026-12-25T13:00,True
CASE-016623,ar,licensing,طلب ترخيص خدمات المياه متوقف عند المراجعة منذ 11 أيام,تواصل فريق التراخيص لطلب المستند الناقص,resolved,2026-12-25T14:00,True
CASE-016624,en,parks,The path at Al Olaya is not wheelchair accessible,The issue was assigned to the parks team and repaired,resolved,2026-12-25T15:00,True
CASE-016625,en,roads,The road leading to Riyadh needs urgent maintenance,The case was assigned to the roads team and the pothole was repaired,resolved,2026-12-25T16:00,True
CASE-016626,ar,lighting,إنارة الممر لا تعمل عند جدة 😡 <NATIONAL_ID>,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2026-12-25T17:00,True
CASE-016627,ar,waste,تراكمت النفايات قرب الرياض وتسبب رائحة قوية,تم تفريغ الحاوية وتعديل جدول الجمع,resolved,2026-12-25T18:00,True
CASE-016628,ar,water,ضغط المياه منخفض جداً في الرياض,تم إصلاح التسرب وإعادة ضغط الشبكة,resolved,2026-12-25T19:00,True
CASE-016629,en,billing,I paid the bill but it still shows as unpaid,The invoice was reviewed and the fees were corrected,resolved,2026-12-25T20:00,True
CASE-016630,en,digital_services,The My Licence app crashes during sign-in,The account was refreshed and sign-in was restored,resolved,2026-12-25T21:00,True
CASE-016631,ar,licensing,طلب ترخيص بوابة المرافق متوقف عند المراجعة منذ 19 أيام,تواصل فريق التراخيص لطلب المستند الناقص,resolved,2026-12-25T22:00,True
CASE-016632,ar,parks,الري متوقف في حديقة جدة,تمت صيانة الموقع وإعادة فتح الجزء المتضرر,resolved,2026-12-25T23:00,True
CASE-016633,ar,roads,الطريق المؤدي إلى حي العليا يحتاج صيانة عاجلة,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2026-12-26T00:00,True
CASE-016634,en,lighting,THE STREET IS DARK NEAR AL OLAYA AND THE LIGHTING NEEDS REPAIR,The maintenance team repaired the wiring and restored service,resolved,2026-12-26T01:00,True
CASE-016635,en,waste,We need an additional waste container at Al Yasmin,A new collection point was added for the area,resolved,2026-12-26T02:00,True
CASE-016636,ar,water,انقطاع المياه مستمر في حي النرجس منذ الصباح,عولج العطل وأعيدت المياه تدريجياً,resolved,2026-12-26T03:00,True
CASE-016637,ar,billing,تم احتساب رسوم غير صحيحة على الفاتورة رقم BYN-2025-066636,تمت مطابقة الدفعة وتحديث حالة الحساب,resolved,2026-12-26T04:00,True
CASE-016638,ar,digital_services,تطبيق مواعيد الصيانة يتوقف عند تسجيل الدخول <PHONE>,عولج الخلل التقني وأعيد إرسال رمز التحقق,resolved,2026-12-26T05:00,True
CASE-016639,en,licensing,My Water Services licence request has been under review for 6 days — very frustrating 😡,The documents were reviewed and the request status was updated,resolved,2026-12-26T06:00,True
CASE-016640,en,parks,The path at Riyadh is not wheelchair accessible,The issue was assigned to the parks team and repaired,resolved,2026-12-26T07:00,True
CASE-016641,ar,roads,الطريق المؤدي إلى حي العليا يحتاج صيانة عاجلة,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2026-12-26T08:00,True
CASE-016642,ar,lighting,الشارع مظلم قرب الرياض ونحتاج إصلاح الإنارة,تم استبدال وحدة الإنارة واختبارها,resolved,2026-12-26T09:00,True
CASE-016643,ar,waste,لووووسمحت تراكمت النفايات قرب حي النرجس وتسبب رائحة قوية,أضيفت نقطة جمع جديدة للمنطقة,resolved,2026-12-26T10:00,True
CASE-016644,en,water,There is a water leak at Riyadh; reference BYN-2026-066643,The leak was repaired and network pressure was restored,resolved,2026-12-26T11:00,True
CASE-016645,en,billing,The fees for Water Services are unclear,The invoice was reviewed and the fees were corrected,resolved,2026-12-26T12:00,True
CASE-016646,ar,digital_services,ظهرت رسالة خطأ عند رفع المستند في رخصتي,عولج الخلل التقني وأعيد إرسال رمز التحقق,resolved,2026-12-26T13:00,True
CASE-016647,ar,licensing,لم تتغير حالة الطلب رقم BYN-2025-066646,تواصل فريق التراخيص لطلب المستند الناقص,resolved,2026-12-26T14:00,True
CASE-016648,ar,parks,ألعاب الأطفال في حديقة شارع التحلية تحتاج صيانة,تم تحويل الملاحظة إلى فريق الحدائق وإصلاح العطل,resolved,2026-12-26T15:00,True
CASE-016649,en,roads,Damaged asphalt near Dammam is making driving unsafe,The site was inspected and road maintenance was scheduled,resolved,2026-12-26T16:00,True
CASE-016650,en,lighting,The streetlight at Riyadh has been out for two weeks,The maintenance team repaired the wiring and restored service,resolved,2026-12-26T17:00,True
CASE-016651,ar,waste,تراكمت النفايات قرب الدمام وتسبب رائحة قوية <br>,أضيفت نقطة جمع جديدة للمنطقة,resolved,2026-12-26T18:00,True
CASE-016652,ar,water,يوجد تسرب مياه في حي النرجس والبلاغ رقم BYN-2026-066651 😡,عولج العطل وأعيدت المياه تدريجياً,resolved,2026-12-26T19:00,True
CASE-016653,ar,billing,تم أحتساب رسوم غير صحيحة على الفاتورة رقم BYN-2025-066652,تمت مراجعة الفاتورة وتصحيح الرسوم,resolved,2026-12-26T20:00,True
CASE-016654,en,digital_services,The My Licence app crashes during sign-in,The technical issue was fixed and the verification code was resent,resolved,2026-12-26T21:00,True
CASE-016655,en,licensing,I need clarification on the documents required for Maintenance Appointments,The licensing team contacted the applicant for the missing document,resolved,2026-12-26T22:00,True
CASE-016656,ar,parks,ألعاب الأطفال في حديقة جدة تحتاج صيانة,تم تحويل الملاحظة إلى فريق الحدائق وإصلاح العطل,resolved,2026-12-26T23:00,True
CASE-016657,ar,roads,الأسفلت متضرر قرب الرياض والقيادة أصبحت خطرة,تمت معاينة الموقع وجدولة أعمال الصيانة,resolved,2026-12-27T00:00,True
CASE-016658,ar,lighting,إنارة الممر لا تعمل عند الرياض,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2026-12-27T01:00,True
CASE-016659,en,waste,Waste is piling up near Al Yasmin and causing a strong smell,A new collection point was added for the area,resolved,2026-12-27T02:00,True
CASE-016660,en,water,Water pressure is very low in Al Yasmin,The leak was repaired and network pressure was restored,resolved,2026-12-27T03:00,True
CASE-016661,ar,billing,تم احتساب رسوم غير صحيحة على الفاتورة رقم BYN-2025-066660,تمت مراجعة الفاتورة وتصحيح الرسوم,resolved,2026-12-27T04:00,True
CASE-016662,ar,digital_services,ظهرت رسالة خطأ عند رفع المستند في مواعيد الصيانة,تم تحديث الحساب وإعادة تفعيل الدخول,resolved,2026-12-27T05:00,True
CASE-016663,ar,licensing,أحتاج توضيح المستندات المطلوبة لترخيص رخصتي,تمت مراجعة المستندات وتحديث حالة الطلب,resolved,2026-12-27T06:00,True
CASE-016664,en,parks,Irrigation is not working in Dammam park,The issue was assigned to the parks team and repaired,resolved,2026-12-27T07:00,True
CASE-016665,en,roads,There is a pothole near King Fahd Road for 11 days — very frustrating 😡,The site was inspected and road maintenance was scheduled,resolved,2026-12-27T08:00,True
CASE-016666,ar,lighting,الشارع مظلم قرب طريق الملك فهد ونحتاج إصلاح الإنارة,تم استبدال وحدة الإنارة واختبارها,resolved,2026-12-27T09:00,True
CASE-016667,ar,waste,تراكمت النفايات قرب حي النرجس وتسبب رائحة قوية <NATIONAL_ID>,تم تفريغ الحاوية وتعديل جدول الجمع,resolved,2026-12-27T10:00,True
CASE-016668,ar,water,يوجد تسرب مياه في حي النرجس والبلاغ رقم BYN-2026-066667,تم إصلاح التسرب وإعادة ضغط الشبكة,resolved,2026-12-27T11:00,True
CASE-016669,en,billing,The fees for Balady are unclear,The invoice was reviewed and the fees were corrected,resolved,2026-12-27T12:00,True
CASE-016670,en,digital_services,The verification code for Balady never reaches my phone,The technical issue was fixed and the verification code was resent,resolved,2026-12-27T13:00,True
CASE-016671,ar,licensing,أحتاج توضيح المستندات المطلوبة لترخيص رخصتي,تمت مراجعة المستندات وتحديث حالة الطلب,resolved,2026-12-27T14:00,True
CASE-016672,ar,parks,لووووسمحت ألعأب الأطفال في حديقة طريق الملك فهد تحتاج صيانة,تم تحويل الملاحظة إلى فريق الحدائق وإصلاح العطل,resolved,2026-12-27T15:00,True
CASE-016673,ar,roads,الطريق المؤدي إلى الرياض يحتاج صيانة عاجلة,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2026-12-27T16:00,True
CASE-016674,en,lighting,The walkway lights are not working at Al Olaya,The lighting unit was replaced and tested,resolved,2026-12-27T17:00,True
CASE-016675,en,waste,Waste is piling up near Al Narjis and causing a strong smell <PHONE>,A new collection point was added for the area,resolved,2026-12-27T18:00,True
CASE-016676,ar,water,يوجد تسرب مياه في جدة والبلاغ رقم BYN-2026-066675,عولج العطل وأعيدت المياه تدريجياً,resolved,2026-12-27T19:00,True
CASE-016677,ar,billing,الرسوم في خدمة رخصتي غير واضحة,تمت مراجعة الفاتورة وتصحيح الرسوم,resolved,2026-12-27T20:00,True
CASE-016678,ar,digital_services,ظهرت رسالة خطأ عند رفع المستند في خدمات المياه 😡,عولج الخلل التقني وأعيد إرسال رمز التحقق,resolved,2026-12-27T21:00,True
CASE-016679,en,licensing,I need clarification on the documents required for Maintenance Appointments,The documents were reviewed and the request status was updated,resolved,2026-12-27T22:00,True
CASE-016680,en,parks,Irrigation is not working in Dammam park,The site was maintained and the affected area was reopened,resolved,2026-12-27T23:00,True
CASE-016681,ar,roads,الطريق المؤدي إلى طريق الملك فهد يحتاج صيانة عاجلة,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2026-12-28T00:00,True
CASE-016682,ar,lighting,عمود الإنارة معطل في الرياض منذ أسبوعين <br>,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2026-12-28T01:00,True
CASE-016683,ar,waste,الحاوية ممتلئة في حي العليا ولم تُفرغ منذ 8 أيام,أضيفت نقطة جمع جديدة للمنطقة,resolved,2026-12-28T02:00,True
CASE-016684,en,water,Water has been unavailable in Tahlia Street since this morning,The leak was repaired and network pressure was restored,resolved,2026-12-28T03:00,True
CASE-016685,en,billing,Incorrect fees were charged on invoice BYN-2025-066684,The payment was matched and the account status was updated,resolved,2026-12-28T04:00,True
CASE-016686,ar,digital_services,تطبيق مواعيد الصيانة يتوقف عند تسجيل الدخول,تم تحديث الحساب وإعادة تفعيل الدخول,resolved,2026-12-28T05:00,True
CASE-016687,ar,licensing,لم تتغير حالة الطلب رقم BYN-2025-066686,تمت مراجعة المستندات وتحديث حالة الطلب,resolved,2026-12-28T06:00,True
CASE-016688,ar,parks,الممر في حديقة شارع التحلية غير مناسب للكراسي المتحركة,تم تحويل الملاحظة إلى فريق الحدائق وإصلاح العطل,resolved,2026-12-28T07:00,True
CASE-016689,en,roads,There is a pothole near Tahlia Street for 14 days,The site was inspected and road maintenance was scheduled,resolved,2026-12-28T08:00,True
CASE-016690,en,lighting,The streetlight at Al Yasmin has been out for two weeks,The maintenance team repaired the wiring and restored service,resolved,2026-12-28T09:00,True
CASE-016691,ar,waste,ألحاوية ممتلئة في جدة ولم تُفرغ منذ 16 أيام 😡,تم تفريغ الحاوية وتعديل جدول الجمع,resolved,2026-12-28T10:00,True
CASE-016692,ar,water,ضغط المياه منخفض جداً في حي الياسمين,عولج العطل وأعيدت المياه تدريجياً,resolved,2026-12-28T11:00,True
CASE-016693,ar,billing,تم احتساب رسوم غير صحيحة على الفاتورة رقم BYN-2025-066692,تمت مطابقة الدفعة وتحديث حالة الحساب,resolved,2026-12-28T12:00,True
CASE-016694,en,digital_services,An error appears when I upload a document in Water Services,The account was refreshed and sign-in was restored,resolved,2026-12-28T13:00,True
CASE-016695,en,licensing,My Balady licence request has been under review for 20 days,The documents were reviewed and the request status was updated,resolved,2026-12-28T14:00,True
CASE-016696,ar,parks,ألعاب الأطفال في حديقة الرياض تحتاج صيانة,تم تحويل الملاحظة إلى فريق الحدائق وإصلاح العطل,resolved,2026-12-28T15:00,True
CASE-016697,ar,roads,حفرة في الطريق أمام جدة منذ 1 أيام,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2026-12-28T16:00,True
CASE-016698,ar,lighting,إنارة الممر لا تعمل عند طريق الملك فهد,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2026-12-28T17:00,True
CASE-016699,en,waste,We need an additional waste container at Al Yasmin,A new collection point was added for the area,resolved,2026-12-28T18:00,True
CASE-016700,en,water,Water pressure is very low in Jeddah,The leak was repaired and network pressure was restored,resolved,2026-12-28T19:00,True
CASE-016701,ar,billing,لووووسمحت دفعت الفاتورة لكن الحالة ما زالت غير مسددة,تمت مراجعة الفاتورة وتصحيح الرسوم,resolved,2026-12-28T20:00,True
CASE-016702,ar,digital_services,تطبيق رخصتي يتوقف عند تسجيل الدخول,تم تحديث الحساب وإعادة تفعيل الدخول,resolved,2026-12-28T21:00,True
CASE-016703,ar,licensing,طلب ترخيص مواعيد الصيانة متوقف عند المراجعة منذ 7 أيام,تواصل فريق التراخيص لطلب المستند الناقص,resolved,2026-12-28T22:00,True
CASE-016704,en,parks,Irrigation is not working in Al Olaya park — very frustrating 😡,The issue was assigned to the parks team and repaired,resolved,2026-12-28T23:00,True
CASE-016705,en,roads,There is a pothole near Al Yasmin for 9 days,The case was assigned to the roads team and the pothole was repaired,resolved,2026-12-29T00:00,True
CASE-016706,ar,lighting,الشارع مظلم قرب جدة ونحتاج إصلاح الإنارة,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2026-12-29T01:00,True
CASE-016707,ar,waste,تراكمت النفايات قرب الدمام وتسبب رائحة قوية,تم تفريغ الحاوية وتعديل جدول الجمع,resolved,2026-12-29T02:00,True
CASE-016708,ar,water,ضغط المياه منخفض جداً في حي العليا <NATIONAL_ID>,عولج العطل وأعيدت المياه تدريجياً,resolved,2026-12-29T03:00,True
CASE-016709,en,billing,The fees for Facilities Portal are unclear,The invoice was reviewed and the fees were corrected,resolved,2026-12-29T04:00,True
CASE-016710,en,digital_services,AN ERROR APPEARS WHEN I UPLOAD A DOCUMENT IN MAINTENANCE APPOINTMENTS,The technical issue was fixed and the verification code was resent,resolved,2026-12-29T05:00,True
CASE-016711,ar,licensing,لم تتغير حالة الطلب رقم BYN-2025-066710,تمت مراجعة المستندات وتحديث حالة الطلب,resolved,2026-12-29T06:00,True
CASE-016712,ar,parks,ألعاب الأطفال في حديقة الدمام تحتاج صيانة <PHONE>,تم تحويل الملاحظة إلى فريق الحدائق وإصلاح العطل,resolved,2026-12-29T07:00,True
CASE-016713,ar,roads,حفرة في الطريق أمام حي العليا منذ 17 أيام <br>,تمت معاينة الموقع وجدولة أعمال الصيانة,resolved,2026-12-29T08:00,True
CASE-016714,en,lighting,The street is dark near King Fahd Road and the lighting needs repair,The maintenance team repaired the wiring and restored service,resolved,2026-12-29T09:00,True
CASE-016715,en,waste,Waste is piling up near Al Yasmin and causing a strong smell,A new collection point was added for the area,resolved,2026-12-29T10:00,True
CASE-016716,ar,water,انقطاع المياه مستمر في حي الياسمين منذ الصباح,عولج العطل وأعيدت المياه تدريجياً,resolved,2026-12-29T11:00,True
CASE-016717,ar,billing,دفعت الفاتورة لكن الحالة ما زالت غير مسددة 😡,تمت مراجعة الفاتورة وتصحيح الرسوم,resolved,2026-12-29T12:00,True
CASE-016718,ar,digital_services,ظهرت رسالة خطأ عند رفع المستند في رخصتي,عولج الخلل التقني وأعيد إرسال رمز التحقق,resolved,2026-12-29T13:00,True
CASE-016719,en,licensing,I need clarification on the documents required for Facilities Portal,The licensing team contacted the applicant for the missing document,resolved,2026-12-29T14:00,True
CASE-016720,en,parks,The path at Dammam is not wheelchair accessible,The issue was assigned to the parks team and repaired,resolved,2026-12-29T15:00,True
CASE-016721,ar,roads,الأسفلت متضرر قرب الدمام والقيادة أصبحت خطرة,تمت معاينة الموقع وجدولة أعمال الصيانة,resolved,2026-12-29T16:00,True
CASE-016722,ar,lighting,الشارع مظلم قرب الرياض ونحتاج إصلاح الإنارة,تم استبدال وحدة الإنارة واختبارها,resolved,2026-12-29T17:00,True
CASE-016723,ar,waste,نحتاج حاوية إضافية في جدة,أضيفت نقطة جمع جديدة للمنطقة,resolved,2026-12-29T18:00,True
CASE-016724,en,water,Water has been unavailable in Tahlia Street since this morning,The leak was repaired and network pressure was restored,resolved,2026-12-29T19:00,True
CASE-016725,en,billing,The fees for Facilities Portal are unclear,The payment was matched and the account status was updated,resolved,2026-12-29T20:00,True
CASE-016726,ar,digital_services,ظهرت رسالة خطأ عند رفع المستند في بوابة المرافق,عولج الخلل التقني وأعيد إرسال رمز التحقق,resolved,2026-12-29T21:00,True
CASE-016727,ar,licensing,أحتاج توضيح المستندات المطلوبة لترخيص خدمات المياه,تمت مراجعة المستندات وتحديث حالة الطلب,resolved,2026-12-29T22:00,True
CASE-016728,ar,parks,ألعاب الأطفال في حديقة شارع التحلية تحتاج صيانة,تمت صيانة الموقع وإعادة فتح الجزء المتضرر,resolved,2026-12-29T23:00,True
CASE-016729,en,roads,THE ROAD LEADING TO RIYADH NEEDS URGENT MAINTENANCE,The site was inspected and road maintenance was scheduled,resolved,2026-12-30T00:00,True
CASE-016730,en,lighting,The walkway lights are not working at Al Narjis — very frustrating 😡,The maintenance team repaired the wiring and restored service,resolved,2026-12-30T01:00,True
CASE-016731,ar,waste,الحاوية ممتلئة في طريق الملك فهد ولم تُفرغ منذ 14 أيام,تم تفريغ الحاوية وتعديل جدول الجمع,resolved,2026-12-30T02:00,True
CASE-016732,ar,water,انقطاع المياه مستمر في الدمام منذ الصباح,عولج العطل وأعيدت المياه تدريجياً,resolved,2026-12-30T03:00,True
CASE-016733,ar,billing,الرسوم في خدمة بلدي غير واضحة,تمت مراجعة الفاتورة وتصحيح الرسوم,resolved,2026-12-30T04:00,True
CASE-016734,en,digital_services,The Facilities Portal app crashes during sign-in,The account was refreshed and sign-in was restored,resolved,2026-12-30T05:00,True
CASE-016735,en,licensing,My Water Services licence request has been under review for 18 days,The documents were reviewed and the request status was updated,resolved,2026-12-30T06:00,True
CASE-016736,ar,parks,ألعاب الأطفال في حديقة جدة تحتاج صيانة,تمت صيانة الموقع وإعادة فتح الجزء المتضرر,resolved,2026-12-30T07:00,True
CASE-016737,ar,roads,الطريق المؤدي إلى طريق الملك فهد يحتاج صيانة عاجلة,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2026-12-30T08:00,True
CASE-016738,ar,lighting,إنارة الممر لا تعمل عند الرياض,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2026-12-30T09:00,True
CASE-016739,en,waste,The waste bin at Al Olaya has not been emptied for 1 days,The container was emptied and the collection schedule was updated,resolved,2026-12-30T10:00,True
CASE-016740,en,water,There is a water leak at Tahlia Street; reference BYN-2026-066739,The fault was fixed and water service was gradually restored,resolved,2026-12-30T11:00,True
CASE-016741,ar,billing,دفعت الفاتورة لكن الحالة ما زالت غير مسددة,تمت مطابقة الدفعة وتحديث حالة الحساب,resolved,2026-12-30T12:00,True
CASE-016742,ar,digital_services,تطبيق رخصتي يتوقف عند تسجيل الدخول,عولج الخلل التقني وأعيد إرسال رمز التحقق,resolved,2026-12-30T13:00,True
CASE-016743,ar,licensing,طلب ترخيص بوابة المرافق متوقف عند المراجعة منذ 5 أيام 😡,تواصل فريق التراخيص لطلب المستند الناقص,resolved,2026-12-30T14:00,True
CASE-016744,en,parks,Irrigation is not working in Tahlia Street park <br>,The issue was assigned to the parks team and repaired,resolved,2026-12-30T15:00,True
CASE-016745,en,roads,There is a pothole near Al Yasmin for 7 days,The case was assigned to the roads team and the pothole was repaired,resolved,2026-12-30T16:00,True
CASE-016746,ar,lighting,الشارع مظلم قرب حي النرجس ونحتاج إصلاح الإنارة,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2026-12-30T17:00,True
CASE-016747,ar,waste,تراكمت النفايات قرب حي الياسمين وتسبب رائحة قوية,أضيفت نقطة جمع جديدة للمنطقة,resolved,2026-12-30T18:00,True
CASE-016748,ar,water,ضغط ألمياه منخفض جداً في طريق الملك فهد,تم إصلاح التسرب وإعادة ضغط الشبكة,resolved,2026-12-30T19:00,True
CASE-016749,en,billing,The fees for My Licence are unclear <PHONE> <NATIONAL_ID>,The payment was matched and the account status was updated,resolved,2026-12-30T20:00,True
CASE-016750,en,digital_services,An error appears when I upload a document in Water Services,The account was refreshed and sign-in was restored,resolved,2026-12-30T21:00,True
CASE-016751,ar,licensing,طلب ترخيص رخصتي متوقف عند المراجعة منذ 13 أيام,تواصل فريق التراخيص لطلب المستند الناقص,resolved,2026-12-30T22:00,True
CASE-016752,ar,parks,الري متوقف في حديقة حي الياسمين,تمت صيانة الموقع وإعادة فتح الجزء المتضرر,resolved,2026-12-30T23:00,True
CASE-016753,ar,roads,الأسفلت متضرر قرب حي الياسمين والقيادة أصبحت خطرة,تمت معاينة الموقع وجدولة أعمال الصيانة,resolved,2026-12-31T00:00,True
CASE-016754,en,lighting,The walkway lights are not working at Tahlia Street,The maintenance team repaired the wiring and restored service,resolved,2026-12-31T01:00,True
CASE-016755,en,waste,The waste bin at Al Yasmin has not been emptied for 17 days,The container was emptied and the collection schedule was updated,resolved,2026-12-31T02:00,True
CASE-016756,ar,water,ضغط المياه منخفض جداً في حي العليا 😡,عولج العطل وأعيدت المياه تدريجياً,resolved,2026-12-31T03:00,True
CASE-016757,ar,billing,الرسوم في خدمة بلدي غير واضحة,تمت مراجعة الفاتورة وتصحيح الرسوم,resolved,2026-12-31T04:00,True
CASE-016758,ar,digital_services,تطبيق خدمات المياه يتوقف عند تسجيل الدخول,تم تحديث الحساب وإعادة تفعيل الدخول,resolved,2026-12-31T05:00,True
CASE-016759,en,licensing,My Maintenance Appointments licence request has been under review for 21 days,The documents were reviewed and the request status was updated,resolved,2026-12-31T06:00,True
CASE-016760,en,parks,Irrigation is not working in Tahlia Street park,The issue was assigned to the parks team and repaired,resolved,2026-12-31T07:00,True
CASE-016761,ar,roads,حفرة في الطريق أمام الدمام منذ 2 أيام,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2026-12-31T08:00,True
CASE-016762,ar,lighting,عمود الإنارة معطل في حي الياسمين منذ أسبوعين,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2026-12-31T09:00,True
CASE-016763,ar,waste,تراكمت النفايات قرب الرياض وتسبب رائحة قوية,أضيفت نقطة جمع جديدة للمنطقة,resolved,2026-12-31T10:00,True
CASE-016764,en,water,Water has been unavailable in Dammam since this morning,The leak was repaired and network pressure was restored,resolved,2026-12-31T11:00,True
CASE-016765,en,billing,Incorrect fees were charged on invoice BYN-2025-066764,The payment was matched and the account status was updated,resolved,2026-12-31T12:00,True
CASE-016766,ar,digital_services,ظهرت رسالة خطأ عند رفع المستند في رخصتي,تم تحديث الحساب وإعادة تفعيل الدخول,resolved,2026-12-31T13:00,True
CASE-016767,ar,licensing,طلب ترخيص رخصتي متوقف عند ألمراجعة منذ 8 أيام,تمت مراجعة المستندات وتحديث حالة الطلب,resolved,2026-12-31T14:00,True
CASE-016768,ar,parks,ألعاب الأطفال في حديقة حي العليا تحتاج صيانة,تم تحويل الملاحظة إلى فريق الحدائق وإصلاح العطل,resolved,2026-12-31T15:00,True
CASE-016769,en,roads,Damaged asphalt near Riyadh is making driving unsafe — very frustrating 😡,The site was inspected and road maintenance was scheduled,resolved,2026-12-31T16:00,True
CASE-016770,en,lighting,The street is dark near Riyadh and the lighting needs repair,The lighting unit was replaced and tested,resolved,2026-12-31T17:00,True
CASE-016771,ar,waste,الحاوية ممتلئة في طريق الملك فهد ولم تُفرغ منذ 12 أيام,أضيفت نقطة جمع جديدة للمنطقة,resolved,2026-12-31T18:00,True
CASE-016772,ar,water,يوجد تسرب مياه في طريق الملك فهد والبلاغ رقم BYN-2026-066771,عولج العطل وأعيدت المياه تدريجياً,resolved,2026-12-31T19:00,True
CASE-016773,ar,billing,تم احتساب رسوم غير صحيحة على الفاتورة رقم BYN-2025-066772,تمت مراجعة الفاتورة وتصحيح الرسوم,resolved,2026-12-31T20:00,True
CASE-016774,en,digital_services,The verification code for Facilities Portal never reaches my phone,The technical issue was fixed and the verification code was resent,resolved,2026-12-31T21:00,True
CASE-016775,en,licensing,I need clarification on the documents required for Water Services <br>,The licensing team contacted the applicant for the missing document,resolved,2026-12-31T22:00,True
CASE-016776,ar,parks,ألعاب الأطفال في حديقة طريق الملك فهد تحتاج صيانة,تمت صيانة الموقع وإعادة فتح الجزء المتضرر,resolved,2026-12-31T23:00,True
CASE-016777,ar,roads,الأسفلت متضرر قرب شارع التحلية والقيادة أصبحت خطرة,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2027-01-01T00:00,True
